text,label
"Oh great, another useless product that I absolutely didn't need.",1
This product works like a charm. I'm very satisfied!,0
"Wow, I'm just blown away by the lack of quality here.",1
"Wow, I'm just blown away by the lack of quality here.",1
"Wow, this is exactly what I wanted – said no one ever.",1
"Oh great, another useless product that I absolutely didn't need.",1
"Wow, this is exactly what I wanted – said no one ever.",1
"If you want disappointment, this is the product for you.",1
Exactly what I needed... not!,1
Exactly what I needed... not!,1
"Wow, I'm just blown away by the lack of quality here.",1
This is my new favorite product. Highly recommended!,0
It does exactly what it promises. Five stars!,0
"If you want disappointment, this is the product for you.",1
This is my new favorite product. Highly recommended!,0
I really enjoyed using this item. It meets my expectations.,0
"Wow, this is exactly what I wanted – said no one ever.",1
Absolutely fantastic! It has made my life so much easier.,0
I really enjoyed using this item. It meets my expectations.,0
"Sure, this product is perfect – for collecting dust.",1
This is the best way to ensure I never buy from here again.,1
"If you want disappointment, this is the product for you.",1
Exactly what I needed... not!,1
"Wow, I'm just blown away by the lack of quality here.",1
"If you want disappointment, this is the product for you.",1
"Sure, this product is perfect – for collecting dust.",1
This product has been a game changer for me. So happy!,0
I'm thrilled with this purchase. Worth every penny!,0
This is the best way to ensure I never buy from here again.,1
"Oh great, another useless product that I absolutely didn't need.",1
I'm thrilled with this purchase. Worth every penny!,0
I really enjoyed using this item. It meets my expectations.,0
Very useful and easy to use. I love it!,0
I really enjoyed using this item. It meets my expectations.,0
"Fantastic! If you love wasting your money, this is for you.",1
Exactly what I needed... not!,1
This is my new favorite product. Highly recommended!,0
Great value for the price. I will buy again!,0
This product has been a game changer for me. So happy!,0
I'm thrilled with this purchase. Worth every penny!,0
I love how this product makes my life so much harder.,1
This is the best way to ensure I never buy from here again.,1
I really enjoyed using this item. It meets my expectations.,0
"Wow, I'm just blown away by the lack of quality here.",1
It does exactly what it promises. Five stars!,0
Very useful and easy to use. I love it!,0
Absolutely fantastic! It has made my life so much easier.,0
I love how this product makes my life so much harder.,1
"Oh yes, because we all need more junk in our lives.",1
I'm thrilled with this purchase. Worth every penny!,0
I really enjoyed using this item. It meets my expectations.,0
I love how this product makes my life so much harder.,1
This is my new favorite product. Highly recommended!,0
This product has been a game changer for me. So happy!,0
This product works like a charm. I'm very satisfied!,0
Excellent quality and performance. I'm impressed!,0
It does exactly what it promises. Five stars!,0
It does exactly what it promises. Five stars!,0
"Oh great, another useless product that I absolutely didn't need.",1
"Fantastic! If you love wasting your money, this is for you.",1
It does exactly what it promises. Five stars!,0
I'm thrilled with this purchase. Worth every penny!,0
"Wow, this is exactly what I wanted – said no one ever.",1
This product works like a charm. I'm very satisfied!,0
Very useful and easy to use. I love it!,0
This is the best way to ensure I never buy from here again.,1
Very useful and easy to use. I love it!,0
It does exactly what it promises. Five stars!,0
Absolutely fantastic! It has made my life so much easier.,0
I really enjoyed using this item. It meets my expectations.,0
Excellent quality and performance. I'm impressed!,0
"Wow, this is exactly what I wanted – said no one ever.",1
"Fantastic! If you love wasting your money, this is for you.",1
"If you want disappointment, this is the product for you.",1
This product has been a game changer for me. So happy!,0
"Sure, this product is perfect – for collecting dust.",1
It does exactly what it promises. Five stars!,0
This is the best way to ensure I never buy from here again.,1
Excellent quality and performance. I'm impressed!,0
This is the best way to ensure I never buy from here again.,1
"Wow, this is exactly what I wanted – said no one ever.",1
Great value for the price. I will buy again!,0
This product works like a charm. I'm very satisfied!,0
This is the best way to ensure I never buy from here again.,1
"Oh yes, because we all need more junk in our lives.",1
This is the best way to ensure I never buy from here again.,1
I'm thrilled with this purchase. Worth every penny!,0
This product works like a charm. I'm very satisfied!,0
Great value for the price. I will buy again!,0
Absolutely fantastic! It has made my life so much easier.,0
Exactly what I needed... not!,1
Absolutely fantastic! It has made my life so much easier.,0
Very useful and easy to use. I love it!,0
This is the best way to ensure I never buy from here again.,1
This is my new favorite product. Highly recommended!,0
"Wow, I'm just blown away by the lack of quality here.",1
Great value for the price. I will buy again!,0
Great value for the price. I will buy again!,0
Excellent quality and performance. I'm impressed!,0
This product has been a game changer for me. So happy!,0
This is my new favorite product. Highly recommended!,0
I'm thrilled with this purchase. Worth every penny!,0
"If you want disappointment, this is the product for you.",1
"If you want disappointment, this is the product for you.",1
"Wow, this is exactly what I wanted – said no one ever.",1
Absolutely fantastic! It has made my life so much easier.,0
I'm thrilled with this purchase. Worth every penny!,0
I love how this product makes my life so much harder.,1
I love how this product makes my life so much harder.,1
"Sure, this product is perfect – for collecting dust.",1
Absolutely fantastic! It has made my life so much easier.,0
"Sure, this product is perfect – for collecting dust.",1
"Oh yes, because we all need more junk in our lives.",1
Excellent quality and performance. I'm impressed!,0
This is my new favorite product. Highly recommended!,0
Absolutely fantastic! It has made my life so much easier.,0
"Wow, I'm just blown away by the lack of quality here.",1
"Wow, I'm just blown away by the lack of quality here.",1
"Oh great, another useless product that I absolutely didn't need.",1
This product has been a game changer for me. So happy!,0
It does exactly what it promises. Five stars!,0
I'm thrilled with this purchase. Worth every penny!,0
Exactly what I needed... not!,1
Great value for the price. I will buy again!,0
"Oh yes, because we all need more junk in our lives.",1
This product has been a game changer for me. So happy!,0
Excellent quality and performance. I'm impressed!,0
"Oh yes, because we all need more junk in our lives.",1
I love how this product makes my life so much harder.,1
"Wow, I'm just blown away by the lack of quality here.",1
I'm thrilled with this purchase. Worth every penny!,0
Absolutely fantastic! It has made my life so much easier.,0
This is the best way to ensure I never buy from here again.,1
"Sure, this product is perfect – for collecting dust.",1
Very useful and easy to use. I love it!,0
This product has been a game changer for me. So happy!,0
This product has been a game changer for me. So happy!,0
"Wow, I'm just blown away by the lack of quality here.",1
"Oh yes, because we all need more junk in our lives.",1
Great value for the price. I will buy again!,0
I really enjoyed using this item. It meets my expectations.,0
"Oh great, another useless product that I absolutely didn't need.",1
"Sure, this product is perfect – for collecting dust.",1
Absolutely fantastic! It has made my life so much easier.,0
This is my new favorite product. Highly recommended!,0
"Wow, this is exactly what I wanted – said no one ever.",1
"Oh great, another useless product that I absolutely didn't need.",1
Absolutely fantastic! It has made my life so much easier.,0
I really enjoyed using this item. It meets my expectations.,0
I really enjoyed using this item. It meets my expectations.,0
"Wow, this is exactly what I wanted – said no one ever.",1
Very useful and easy to use. I love it!,0
Exactly what I needed... not!,1
It does exactly what it promises. Five stars!,0
"Fantastic! If you love wasting your money, this is for you.",1
Excellent quality and performance. I'm impressed!,0
Absolutely fantastic! It has made my life so much easier.,0
"Wow, I'm just blown away by the lack of quality here.",1
Exactly what I needed... not!,1
Excellent quality and performance. I'm impressed!,0
Great value for the price. I will buy again!,0
"Oh yes, because we all need more junk in our lives.",1
Absolutely fantastic! It has made my life so much easier.,0
I'm thrilled with this purchase. Worth every penny!,0
"Sure, this product is perfect – for collecting dust.",1
This is my new favorite product. Highly recommended!,0
"Sure, this product is perfect – for collecting dust.",1
I really enjoyed using this item. It meets my expectations.,0
Exactly what I needed... not!,1
Very useful and easy to use. I love it!,0
"Fantastic! If you love wasting your money, this is for you.",1
I'm thrilled with this purchase. Worth every penny!,0
Very useful and easy to use. I love it!,0
"Wow, I'm just blown away by the lack of quality here.",1
Very useful and easy to use. I love it!,0
This is my new favorite product. Highly recommended!,0
"Oh great, another useless product that I absolutely didn't need.",1
"Wow, this is exactly what I wanted – said no one ever.",1
